Method,chair_PSNR,chair_SSIM,chair_L1,drums_PSNR,drums_SSIM,drums_L1,ficus_PSNR,ficus_SSIM,ficus_L1,hotdog_PSNR,hotdog_SSIM,hotdog_L1,lego_PSNR,lego_SSIM,lego_L1,materials_PSNR,materials_SSIM,materials_L1,mic_PSNR,mic_SSIM,mic_L1,ship_PSNR,ship_SSIM,ship_L1,Avg_PSNR,Avg_SSIM,Avg_L1
baseline,38.54,0.9933,0.003434,30.57,0.9789,0.007477,37.59,0.9944,0.003461,40.45,0.9913,0.002945,39.82,0.9919,0.003498,36.27,0.9889,0.004450,-,-,-,35.16,0.9523,0.007905,36.91,0.9844,0.004739
cat0,37.96,0.9931,0.003771,30.70,0.9794,0.007294,38.27,0.9946,0.003164,40.40,0.9913,0.003017,39.86,0.9919,0.003407,36.59,0.9894,0.004089,39.31,0.9964,0.002159,35.01,0.9520,0.007995,37.26,0.9860,0.004362
cat1,39.68,0.9947,0.003054,31.39,0.9822,0.006710,38.95,0.9954,0.002931,41.14,0.9920,0.002845,40.73,0.9929,0.003153,37.80,0.9910,0.003760,40.71,0.9971,0.001839,35.52,0.9542,0.007708,38.24,0.9874,0.004000
cat2,39.75,0.9948,0.002953,31.46,0.9824,0.006668,38.20,0.9946,0.003249,41.17,0.9920,0.002802,40.78,0.9929,0.003131,37.21,0.9901,0.004194,40.66,0.9971,0.001851,35.49,0.9521,0.007689,38.09,0.9870,0.004067
cat3,39.55,0.9945,0.003127,31.36,0.9816,0.006749,38.82,0.9949,0.002982,40.99,0.9917,0.002893,40.77,0.9927,0.003106,36.92,0.9892,0.004201,40.63,0.9971,0.001856,34.68,0.9455,0.008682,37.97,0.9859,0.004200
cat4,39.61,0.9943,0.002987,31.51,0.9817,0.006600,38.43,0.9946,0.003113,40.75,0.9913,0.002988,40.24,0.9920,0.003401,36.52,0.9878,0.004340,40.39,0.9969,0.001899,34.57,0.9403,0.008579,37.75,0.9849,0.004238
cat5,38.80,0.9936,0.003362,31.48,0.9806,0.006921,38.74,0.9946,0.002944,40.57,0.9908,0.003025,39.90,0.9911,0.003463,35.34,0.9855,0.005075,39.91,0.9967,0.002010,33.70,0.9297,0.009907,37.30,0.9828,0.004588
cat6,37.71,0.9914,0.003903,31.03,0.9779,0.007256,38.10,0.9938,0.003198,39.83,0.9883,0.003323,38.80,0.9879,0.003803,34.30,0.9811,0.005210,38.88,0.9958,0.002218,32.93,0.9145,0.010336,36.45,0.9788,0.004906
