Method,chair_PSNR,chair_SSIM,chair_L1,drums_PSNR,drums_SSIM,drums_L1,ficus_PSNR,ficus_SSIM,ficus_L1,hotdog_PSNR,hotdog_SSIM,hotdog_L1,lego_PSNR,lego_SSIM,lego_L1,materials_PSNR,materials_SSIM,materials_L1,mic_PSNR,mic_SSIM,mic_L1,ship_PSNR,ship_SSIM,ship_L1,Avg_PSNR,Avg_SSIM,Avg_L1
baseline,38.39,0.9933,0.003578,30.76,0.9794,0.007371,38.09,0.9944,0.003288,40.01,0.9909,0.003136,39.81,0.9920,0.003346,36.67,0.9895,0.003931,39.53,0.9965,0.002030,35.12,0.9524,0.007880,37.30,0.9861,0.004320
cat0,38.70,0.9934,0.003354,30.65,0.9794,0.007286,38.57,0.9948,0.003023,40.32,0.9912,0.003034,38.82,0.9911,0.004137,36.80,0.9894,0.004169,39.30,0.9964,0.002094,35.20,0.9530,0.007816,37.29,0.9861,0.004364
cat1,39.33,0.9943,0.003124,31.37,0.9819,0.006678,39.58,0.9955,0.002618,40.72,0.9920,0.003029,40.59,0.9929,0.003131,37.23,0.9901,0.004099,39.97,0.9968,0.002018,34.90,0.9520,0.008259,37.96,0.9869,0.004119
cat2,39.53,0.9945,0.003097,31.60,0.9823,0.006552,38.74,0.9950,0.003022,41.07,0.9920,0.002883,40.72,0.9929,0.003138,37.37,0.9898,0.004115,40.59,0.9971,0.001898,34.85,0.9506,0.008249,38.06,0.9868,0.004119
cat3,39.40,0.9943,0.003140,31.42,0.9817,0.006745,39.23,0.9951,0.002765,40.94,0.9917,0.002953,-,-,-,37.38,0.9895,0.003914,40.29,0.9970,0.001948,34.36,0.9447,0.008996,37.57,0.9849,0.004352
cat4,39.18,0.9942,0.003257,31.59,0.9819,0.006513,38.89,0.9948,0.002906,40.73,0.9914,0.003105,40.22,0.9919,0.003342,37.00,0.9884,0.004086,40.34,0.9969,0.001898,34.64,0.9405,0.008513,37.82,0.9850,0.004202
cat5,38.95,0.9937,0.003297,31.30,0.9804,0.006928,38.95,0.9947,0.002844,40.59,0.9908,0.003052,39.86,0.9911,0.003501,35.58,0.9855,0.004815,40.02,0.9967,0.001965,34.05,0.9302,0.008949,37.41,0.9829,0.004419
cat6,38.06,0.9916,0.003660,31.32,0.9787,0.006884,38.49,0.9939,0.003020,39.73,0.9883,0.003380,38.36,0.9873,0.004112,34.30,0.9811,0.005231,38.76,0.9957,0.002262,33.11,0.9156,0.010024,36.52,0.9790,0.004822
