Method,chair_PSNR,chair_SSIM,chair_L1,drums_PSNR,drums_SSIM,drums_L1,ficus_PSNR,ficus_SSIM,ficus_L1,hotdog_PSNR,hotdog_SSIM,hotdog_L1,lego_PSNR,lego_SSIM,lego_L1,materials_PSNR,materials_SSIM,materials_L1,mic_PSNR,mic_SSIM,mic_L1,ship_PSNR,ship_SSIM,ship_L1,Avg_PSNR,Avg_SSIM,Avg_L1
baseline,38.82,0.9937,0.003269,30.74,0.9795,0.007222,17.40,0.8488,0.042731,40.34,0.9913,0.003237,39.39,0.9916,0.003852,37.07,0.9899,0.003909,-,-,-,34.47,0.9514,0.008293,34.03,0.9637,0.010359
cat0,38.45,0.9935,0.003475,30.66,0.9792,0.007288,17.40,0.8488,0.042735,40.65,0.9915,0.002890,39.80,0.9921,0.003559,15.69,0.7408,0.067275,17.80,0.8654,0.039276,34.64,0.9519,0.008173,29.39,0.9204,0.021834
cat1,39.39,0.9942,0.003036,31.29,0.9816,0.006759,38.18,0.9931,0.003177,41.00,0.9919,0.002947,40.84,0.9929,0.003117,37.39,0.9906,0.003934,17.80,0.8654,0.039275,35.25,0.9531,0.007753,35.14,0.9703,0.008750
cat2,38.91,0.9941,0.003405,31.31,0.9815,0.006691,38.79,0.9933,0.002852,41.05,0.9918,0.002815,40.48,0.9926,0.003307,37.84,0.9908,0.003725,17.80,0.8654,0.039275,35.13,0.9509,0.007939,35.16,0.9701,0.008751
cat3,38.91,0.9939,0.003353,31.47,0.9819,0.006611,17.40,0.8488,0.042734,40.76,0.9915,0.002948,40.67,0.9926,0.003180,37.45,0.9900,0.003781,17.80,0.8654,0.039275,34.92,0.9464,0.008169,32.42,0.9513,0.013756
cat4,38.84,0.9936,0.003273,31.37,0.9809,0.006750,17.40,0.8488,0.042735,40.53,0.9910,0.003028,40.65,0.9924,0.003190,36.53,0.9884,0.004186,17.80,0.8654,0.039276,34.15,0.9383,0.009022,32.16,0.9498,0.013933
cat5,38.35,0.9928,0.003569,11.71,0.7264,0.113944,17.40,0.8488,0.042736,39.93,0.9903,0.003327,40.32,0.9919,0.003325,15.69,0.7408,0.067283,17.80,0.8654,0.039276,33.82,0.9323,0.009291,26.88,0.8861,0.035344
cat6,11.14,0.7794,0.121189,11.71,0.7264,0.113946,17.40,0.8488,0.042737,40.15,0.9894,0.003130,39.77,0.9909,0.003560,15.69,0.7407,0.067294,17.80,0.8654,0.039276,32.92,0.9205,0.009801,23.32,0.8577,0.050117
