Method,Experiment_Name,PSNR_dB,SSIM,L1,Num_Images
add,comprehensive_add,36.76,0.9896,0.004337,100
baseline,comprehensive_baseline,36.53,0.9891,0.004154,100
cat,comprehensive_cat1_1level,38.04,0.9910,0.003537,100
cat,comprehensive_cat2_2level,37.79,0.9904,0.003827,100
cat,comprehensive_cat3_3level,37.50,0.9897,0.003783,100
cat,comprehensive_cat4_4level,36.34,0.9881,0.004457,100
cat,comprehensive_cat5_5level,35.25,0.9857,0.004855,100
cat,comprehensive_cat6_6level,34.44,0.9820,0.005258,100
