Method,chair_PSNR,chair_SSIM,chair_L1,drums_PSNR,drums_SSIM,drums_L1,ficus_PSNR,ficus_SSIM,ficus_L1,hotdog_PSNR,hotdog_SSIM,hotdog_L1,lego_PSNR,lego_SSIM,lego_L1,materials_PSNR,materials_SSIM,materials_L1,mic_PSNR,mic_SSIM,mic_L1,ship_PSNR,ship_SSIM,ship_L1,Avg_PSNR,Avg_SSIM,Avg_L1
baseline,38.29,0.9929,0.003496,30.43,0.9783,0.007622,37.99,0.9932,0.003211,40.12,0.9907,0.003249,39.01,0.9909,0.003829,37.04,0.9898,0.003883,17.80,0.8654,0.039275,34.76,0.9529,0.008094,34.43,0.9693,0.009082
cat0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cat1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cat2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cat3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cat4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cat5,37.85,0.9919,0.003687,30.95,0.9789,0.007208,36.98,0.9916,0.003668,39.49,0.9892,0.003512,39.23,0.9901,0.003727,35.96,0.9864,0.004521,17.80,0.8654,0.039276,33.63,0.9310,0.009418,33.99,0.9656,0.009377
cat6,36.19,0.9841,0.004665,31.01,0.9780,0.007109,37.11,0.9917,0.003626,39.13,0.9866,0.003485,38.75,0.9884,0.003975,34.52,0.9829,0.005216,17.80,0.8654,0.039276,32.79,0.9189,0.010294,33.41,0.9620,0.009706
