Found 8 experiments:
  - baseline/exp1_baseline
  - cat/exp1_cat0_0_levels
  - cat/exp1_cat1_1_levels
  - cat/exp1_cat2_2_levels
  - cat/exp1_cat3_3_levels
  - cat/exp1_cat4_4_levels
  - cat/exp1_cat5_5_levels
  - cat/exp1_cat6_6_levels

====================================================================================================
Top 2 Methods by PSNR for Each Image
====================================================================================================
Index    #1 Method                              PSNR1  #2 Method                              PSNR2
67       cat/exp1_cat4_4_levels                 39.51  cat/exp1_cat3_3_levels                 39.48
68       cat/exp1_cat5_5_levels                 37.78  cat/exp1_cat2_2_levels                 37.69
69       baseline/exp1_baseline                 36.36  cat/exp1_cat5_5_levels                 36.36
70       cat/exp1_cat4_4_levels                 39.60  cat/exp1_cat5_5_levels                 39.57
71       cat/exp1_cat5_5_levels                 39.83  cat/exp1_cat2_2_levels                 39.73
72       cat/exp1_cat3_3_levels                 40.01  cat/exp1_cat2_2_levels                 39.96
73       cat/exp1_cat2_2_levels                 38.83  cat/exp1_cat4_4_levels                 38.77
74       baseline/exp1_baseline                 37.28  cat/exp1_cat4_4_levels                 37.04
75       cat/exp1_cat3_3_levels                 40.34  cat/exp1_cat2_2_levels                 40.29
76       cat/exp1_cat5_5_levels                 38.82  cat/exp1_cat4_4_levels                 38.77
77       cat/exp1_cat4_4_levels                 39.38  cat/exp1_cat1_1_levels                 39.31
78       cat/exp1_cat5_5_levels                 36.37  baseline/exp1_baseline                 36.30
79       cat/exp1_cat3_3_levels                 38.41  cat/exp1_cat2_2_levels                 38.39
80       cat/exp1_cat5_5_levels                 37.71  cat/exp1_cat1_1_levels                 37.67
81       cat/exp1_cat0_0_levels                 35.20  cat/exp1_cat2_2_levels                 35.08
82       cat/exp1_cat4_4_levels                 39.01  cat/exp1_cat2_2_levels                 38.88
83       cat/exp1_cat4_4_levels                 39.36  cat/exp1_cat1_1_levels                 39.23
84       cat/exp1_cat4_4_levels                 39.20  cat/exp1_cat5_5_levels                 38.99
85       cat/exp1_cat3_3_levels                 38.38  cat/exp1_cat5_5_levels                 38.36
86       cat/exp1_cat4_4_levels                 36.97  cat/exp1_cat6_6_levels                 36.77
87       cat/exp1_cat0_0_levels                 36.94  cat/exp1_cat3_3_levels                 36.88
88       cat/exp1_cat0_0_levels                 37.32  cat/exp1_cat5_5_levels                 37.27
89       cat/exp1_cat5_5_levels                 40.11  cat/exp1_cat3_3_levels                 40.05
90       cat/exp1_cat5_5_levels                 38.10  cat/exp1_cat3_3_levels                 37.99
91       cat/exp1_cat3_3_levels                 36.21  cat/exp1_cat4_4_levels                 36.04
92       cat/exp1_cat3_3_levels                 38.10  cat/exp1_cat2_2_levels                 37.68
93       cat/exp1_cat3_3_levels                 40.40  cat/exp1_cat2_2_levels                 40.33
94       cat/exp1_cat4_4_levels                 39.20  cat/exp1_cat1_1_levels                 39.12
95       cat/exp1_cat5_5_levels                 39.45  cat/exp1_cat3_3_levels                 39.27
96       cat/exp1_cat4_4_levels                 37.34  cat/exp1_cat5_5_levels                 37.13
97       cat/exp1_cat0_0_levels                 37.79  cat/exp1_cat5_5_levels                 37.68
98       cat/exp1_cat4_4_levels                 34.21  cat/exp1_cat3_3_levels                 34.07
99       cat/exp1_cat1_1_levels                 31.25  cat/exp1_cat3_3_levels                 31.22
100      cat/exp1_cat2_2_levels                 37.36  cat/exp1_cat0_0_levels                 37.20
101      cat/exp1_cat5_5_levels                 39.60  cat/exp1_cat3_3_levels                 39.54
102      cat/exp1_cat4_4_levels                 38.98  cat/exp1_cat5_5_levels                 38.88
103      cat/exp1_cat6_6_levels                 36.23  cat/exp1_cat5_5_levels                 36.16
104      cat/exp1_cat3_3_levels                 40.21  cat/exp1_cat5_5_levels                 40.20
105      cat/exp1_cat4_4_levels                 39.78  cat/exp1_cat1_1_levels                 39.69
106      cat/exp1_cat3_3_levels                 39.50  cat/exp1_cat5_5_levels                 39.44
107      cat/exp1_cat4_4_levels                 37.00  cat/exp1_cat5_5_levels                 36.73
108      cat/exp1_cat2_2_levels                 38.78  cat/exp1_cat3_3_levels                 38.67
109      cat/exp1_cat0_0_levels                 37.74  cat/exp1_cat1_1_levels                 37.67
110      cat/exp1_cat2_2_levels                 33.95  cat/exp1_cat0_0_levels                 33.90
111      cat/exp1_cat5_5_levels                 37.94  cat/exp1_cat3_3_levels                 37.87
112      cat/exp1_cat5_5_levels                 37.28  cat/exp1_cat4_4_levels                 37.27
113      baseline/exp1_baseline                 37.02  cat/exp1_cat6_6_levels                 36.71
114      cat/exp1_cat4_4_levels                 40.33  cat/exp1_cat5_5_levels                 40.31
115      cat/exp1_cat3_3_levels                 36.99  cat/exp1_cat0_0_levels                 36.66
116      cat/exp1_cat3_3_levels                 40.15  cat/exp1_cat4_4_levels                 40.15
117      cat/exp1_cat4_4_levels                 39.37  cat/exp1_cat1_1_levels                 39.24
118      baseline/exp1_baseline                 37.40  cat/exp1_cat5_5_levels                 37.39
119      cat/exp1_cat5_5_levels                 38.50  cat/exp1_cat2_2_levels                 38.45
120      cat/exp1_cat3_3_levels                 39.64  cat/exp1_cat5_5_levels                 39.60
121      cat/exp1_cat2_2_levels                 38.92  cat/exp1_cat3_3_levels                 38.74
122      cat/exp1_cat0_0_levels                 37.74  cat/exp1_cat1_1_levels                 37.70
123      cat/exp1_cat4_4_levels                 40.10  cat/exp1_cat1_1_levels                 39.85
124      cat/exp1_cat5_5_levels                 37.83  cat/exp1_cat1_1_levels                 37.79
125      cat/exp1_cat5_5_levels                 40.07  cat/exp1_cat3_3_levels                 40.06
126      baseline/exp1_baseline                 37.52  cat/exp1_cat0_0_levels                 37.40
127      cat/exp1_cat4_4_levels                 39.29  cat/exp1_cat1_1_levels                 39.18
128      cat/exp1_cat3_3_levels                 39.03  cat/exp1_cat5_5_levels                 38.95
129      cat/exp1_cat6_6_levels                 34.98  cat/exp1_cat5_5_levels                 34.88
130      cat/exp1_cat4_4_levels                 39.97  cat/exp1_cat2_2_levels                 39.91
131      cat/exp1_cat3_3_levels                 39.21  cat/exp1_cat5_5_levels                 39.20
132      cat/exp1_cat3_3_levels                 39.28  cat/exp1_cat1_1_levels                 39.10
133      cat/exp1_cat4_4_levels                 32.12  cat/exp1_cat3_3_levels                 31.69
134      cat/exp1_cat5_5_levels                 37.78  cat/exp1_cat2_2_levels                 37.70
135      cat/exp1_cat5_5_levels                 38.36  cat/exp1_cat2_2_levels                 38.35
136      cat/exp1_cat5_5_levels                 38.15  cat/exp1_cat3_3_levels                 38.07
137      cat/exp1_cat0_0_levels                 36.95  cat/exp1_cat5_5_levels                 36.95
138      cat/exp1_cat0_0_levels                 37.68  cat/exp1_cat5_5_levels                 37.67
139      cat/exp1_cat5_5_levels                 40.20  cat/exp1_cat3_3_levels                 40.14
140      cat/exp1_cat4_4_levels                 37.19  cat/exp1_cat6_6_levels                 36.86
141      cat/exp1_cat5_5_levels                 38.50  cat/exp1_cat3_3_levels                 38.44
142      cat/exp1_cat5_5_levels                 38.10  cat/exp1_cat3_3_levels                 38.08
